dealer_id,dealer_name,city,official_profile_url,gbp_location_id,admin_company,admin_contact_name,admin_contact_email,admin_contact_phone,gbp_account_name,gbp_account_id,role_on_profile,access_status,oauth_ready,notification_ready,notes
dealer-01,Motoblu Bello,Bello,,,,,,,,,Pendiente,No,No,
dealer-02,Motoblu Itagui,Itagui,,,,,,,,,Pendiente,No,No,
dealer-03,Mundo Yamaha Guayabal,Medellin,,,,,,,,,Pendiente,No,No,
dealer-04,,,,,,,,,,,,Pendiente,No,No,
dealer-05,,,,,,,,,,,,Pendiente,No,No,
dealer-06,,,,,,,,,,,,Pendiente,No,No,
dealer-07,,,,,,,,,,,,Pendiente,No,No,
dealer-08,,,,,,,,,,,,Pendiente,No,No,
dealer-09,,,,,,,,,,,,Pendiente,No,No,
dealer-10,,,,,,,,,,,,Pendiente,No,No,
dealer-11,,,,,,,,,,,,Pendiente,No,No,
dealer-12,,,,,,,,,,,,Pendiente,No,No,
dealer-13,,,,,,,,,,,,Pendiente,No,No,
dealer-14,,,,,,,,,,,,Pendiente,No,No,
dealer-15,,,,,,,,,,,,Pendiente,No,No,
dealer-16,,,,,,,,,,,,Pendiente,No,No,
dealer-17,,,,,,,,,,,,Pendiente,No,No,
dealer-18,,,,,,,,,,,,Pendiente,No,No,
dealer-19,,,,,,,,,,,,Pendiente,No,No,
dealer-20,,,,,,,,,,,,Pendiente,No,No,
dealer-21,,,,,,,,,,,,Pendiente,No,No,
